country_name,indicator_name,indicatorvalue,yearindicator
Sudan,"Industry (including construction), value added (annual % growth)",-5.7,2020.0
Sudan,"Mortality rate, under-5, male (per 1,000 live births)",61.3,2020.0
Sudan,"Population ages 50-54, male (% of male population)",3.1805,2020.0
Sudan,"Tuberculosis case detection rate (%, all forms)",62.0,2020.0
Sudan,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",9.311,2020.0
Sudan,"Population ages 15-64, total",24786462.0,2020.0
Sudan,"Prevalence of HIV, male (% ages 15-24)",0.1,2020.0
Sudan,"Short-term debt (% of exports of goods, services and primary income)",113.5531,2020.0
Sudan,Imports of goods and services (current US$),74409934.3142,2020.0
Sudan,"Inflation, GDP deflator: linked series (annual %)",115.2778,2020.0
Sudan,"Net trade in goods (BoP, current US$)",-5051335393.1025,2020.0
Sudan,Bank liquid reserves to bank assets ratio (%),94.8203,2020.0
Sudan,Broad money (% of GDP),31.9391,2020.0
Sudan,"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",0.0,2020.0
Sudan,"Current account balance (BoP, current US$)",-5841223939.4572,2020.0
Sudan,Discrepancy in expenditure estimate of GDP (constant LCU),417800.0,2020.0
Sudan,Primary school starting age (years),6.0,2020.0
Sudan,Taxes less subsidies on products (current LCU),810502190800.0,2020.0
Sudan,Taxes less subsidies on products (current US$),4259076147.1361,2020.0
Sudan,Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),3.0,2020.0
Sudan,CPIA financial sector rating (1=low to 6=high),2.5,2020.0
Sudan,Gross fixed capital formation (constant 2015 US$),8639787488.8695,2020.0
Sudan,Households and NPISHs Final consumption expenditure per capita growth (annual %),-5.6824,2020.0
Sudan,"People using at least basic drinking water services, urban (% of urban population)",73.7637,2020.0
Sudan,"Population ages 70-74, female (% of female population)",1.1031,2020.0
Sudan,Population in urban agglomerations of more than 1 million (% of total population),13.2929,2020.0
Sudan,"Computer, communications and other services (% of commercial service imports)",7.7519,2020.0
Sudan,CPIA business regulatory environment rating (1=low to 6=high),2.5,2020.0
Sudan,"GNI per capita, PPP (constant 2017 international $)",3649.8964,2020.0
Sudan,"Human capital index (HCI), male, upper bound (scale 0-1)",0.3858,2020.0
Sudan,"IBRD loans and IDA credits (DOD, current US$)",1233772000.0,2020.0
Sudan,Military expenditure (current USD),934311153.8035,2020.0
Sudan,"Population ages 30-34, female (% of female population)",6.4049,2020.0
Sudan,"PPG, official creditors (NFL, current US$)",-111026978.2,2020.0
Sudan,"PPP conversion factor, GDP (LCU per international $)",22.3456,2020.0
Sudan,Broad money growth (annual %),87.9914,2020.0
Sudan,Import unit value index (2000 = 100),145.796,2020.0
Sudan,"Industry (including construction), value added (current US$)",4984365347.3463,2020.0
Sudan,"Population ages 65 and above, female",862810.0,2020.0
Sudan,Present value of external debt (current US$),6400000000.0,2020.0
Sudan,"Reserves and related items (BoP, current US$)",-1979196308.1998,2020.0
Sudan,Risk of impoverishing expenditure for surgical care (% of people at risk),46.4,2020.0
Sudan,Households and NPISHs Final consumption expenditure (constant 2015 US$),22793295535.5274,2020.0
Sudan,"Industry (including construction), value added (constant 2015 US$)",7812360959.0091,2020.0
Sudan,"Internally displaced persons, new displacement associated with conflict and violence (number of cases)",79000.0,2020.0
Sudan,"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",33.162,2020.0
Sudan,Rural population,28391086.0,2020.0
Sudan,"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",22.85,2020.0
Sudan,Final consumption expenditure (annual % growth),-3.7001,2020.0
Sudan,Import value index (2000 = 100),633.5851,2020.0
Sudan,Number of infant deaths,54481.0,2020.0
Sudan,"Agriculture, forestry, and fishing, value added (constant LCU)",6582251000.0,2020.0
Sudan,"Agriculture, forestry, and fishing, value added (current LCU)",826246868900.0,2020.0
Sudan,Fixed broadband subscriptions,28782.0,2020.0
Sudan,GNI: linked series (current LCU),3778825610699.99,2020.0
Sudan,Military expenditure (% of general government expenditure),8.2545,2020.0
Sudan,"Population ages 10-14, female (% of female population)",11.9702,2020.0
Sudan,"Claims on central government, etc. (% GDP)",11.8903,2020.0
Sudan,"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",57.551,2020.0
Sudan,GNI (constant 2015 US$),45903950503.8238,2020.0
Sudan,"PPG, commercial banks (NFL, current US$)",0.0,2020.0
Sudan,Urban population growth (annual %),3.2944,2020.0
Sudan,"Foreign direct investment, net inflows (BoP, current US$)",716939710.5949,2020.0
Sudan,GDP growth (annual %),-3.6298,2020.0
Sudan,GDP per capita (constant LCU),457.6714,2020.0
Sudan,Gross domestic savings (current LCU),1299439620100.0,2020.0
Sudan,"Mortality rate, under-5 (per 1,000 live births)",56.6,2020.0
Sudan,"People using at least basic sanitation services, rural (% of rural population)",24.2341,2020.0
Sudan,Gross national expenditure deflator (base year varies by country),19311.0747,2020.0
Sudan,Net foreign assets (current LCU),-238711600496.628,2020.0
Sudan,"Population ages 60-64, female (% of female population)",2.0762,2020.0
Sudan,"GNI per capita, PPP (current international $)",3860.0,2020.0
Sudan,Military expenditure (% of GDP),1.1317,2020.0
Sudan,Number of deaths ages 15-19 years,10150.0,2020.0
Sudan,"People using at least basic drinking water services, rural (% of rural population)",53.199,2020.0
Sudan,"Population, female (% of total population)",50.0395,2020.0
Sudan,"Primary education, duration (years)",6.0,2020.0
Sudan,"Agriculture, forestry, and fishing, value added (annual % growth)",-2.5,2020.0
Sudan,"Communications, computer, etc. (% of service exports, BoP)",11.9568,2020.0
Sudan,Gross fixed capital formation (annual % growth),-5.8,2020.0
Sudan,Gross savings (% of GDP),30.2057,2020.0
Sudan,Container port traffic (TEU: 20 foot equivalent units),493002.3,2020.0
Sudan,"Net financial flows, IMF nonconcessional (NFL, current US$)",-2510307.0,2020.0
Sudan,Population in urban agglomerations of more than 1 million,5828858.0,2020.0
Sudan,"Share of tariff lines with specific rates, all products (%)",0.4396,2020.0
Sudan,"Tariff rate, most favored nation, weighted mean, all products (%)",25.17,2020.0
Sudan,Adults (ages 15-49) newly infected with HIV,3000.0,2020.0
Sudan,"Official exchange rate (LCU per US$, period average)",53.996,2020.0
Sudan,"Population ages 15-64, male",12312389.0,2020.0
Sudan,"Population ages 75-79, male (% of male population)",0.5797,2020.0
Sudan,"Tariff rate, most favored nation, weighted mean, manufactured products (%)",26.8,2020.0
Sudan,"Age dependency ratio, old (% of working-age population)",6.4998,2020.0
Sudan,"Communications, computer, etc. (% of service imports, BoP)",33.8585,2020.0
Sudan,Imports of goods and services (annual % growth),-3.9,2020.0
Sudan,Number of neonatal deaths,37008.0,2020.0
Sudan,"Population ages 35-39, male (% of male population)",5.3541,2020.0
Sudan,Current account balance (% of GDP),-27.3862,2020.0
Sudan,"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",25.159,2020.0
Sudan,Population ages 65 and above (% of total population),3.6741,2020.0
Sudan,CPIA quality of public administration rating (1=low to 6=high),2.0,2020.0
Sudan,"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",1.5,2020.0
Sudan,"GDP per capita, PPP (current international $)",4142.4486,2020.0
Sudan,Gross capital formation (current US$),6809841073.5681,2020.0
Sudan,"People practicing open defecation, urban (% of urban population)",1.6609,2020.0
Sudan,"People using at least basic sanitation services, urban (% of urban population)",60.1402,2020.0
Sudan,Transport services (% of commercial service imports),82.4141,2020.0
Sudan,Antiretroviral therapy coverage (% of people living with HIV),25.0,2020.0
Sudan,"Exports of goods and services (BoP, current US$)",5065438285.08,2020.0
Sudan,GNI per capita (constant LCU),424.5925,2020.0
Sudan,Imports of goods and services (constant LCU),1114656800.0,2020.0
Sudan,Monetary Sector credit to private sector (% GDP),7.9046,2020.0
Sudan,"Mortality rate, infant, male (per 1,000 live births)",44.3,2020.0
Sudan,External balance on goods and services (constant LCU),-932260400.0,2020.0
Sudan,"Imports of goods, services and primary income (BoP, current US$)",12054131738.2762,2020.0
Sudan,"Personal remittances, paid (current US$)",199517746.2256,2020.0
Sudan,Price level ratio of PPP conversion factor (GDP) to market exchange rate,0.1174,2020.0
Sudan,Commercial service exports (current US$),1257205172.6754,2020.0
Sudan,"Foreign direct investment, net outflows (% of GDP)",0.0,2020.0
Sudan,Gross fixed capital formation (current LCU),1295912756300.0,2020.0
Sudan,"Net capital account (BoP, current US$)",143593535.0459,2020.0
Sudan,"Primary income receipts (BoP, current US$)",61328145.6566,2020.0
Sudan,"Probability of dying among children ages 5-9 years (per 1,000)",5.6,2020.0
Sudan,"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",2.8295,2020.0
Sudan,Fixed broadband subscriptions (per 100 people),0.0656,2020.0
Sudan,People practicing open defecation (% of population),24.0079,2020.0
Sudan,"Population, male (% of total population)",49.9605,2020.0
Sudan,"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",19.411,2020.0
Sudan,Export value index (2000 = 100),210.4706,2020.0
Sudan,"External debt stocks, total (DOD, current US$)",22953534423.5,2020.0
Sudan,Lower secondary school starting age (years),12.0,2020.0
Sudan,"Population ages 00-04, female (% of female population)",14.2342,2020.0
Sudan,"Population ages 70-74, male (% of male population)",0.9727,2020.0
Sudan,"Multilateral debt service (TDS, current US$)",27555475.8,2020.0
Sudan,"Population ages 0-14, female",8605091.0,2020.0
Sudan,"Population ages 0-14, total",17451732.0,2020.0
Sudan,Exports of goods and services (constant LCU),182396400.0,2020.0
Sudan,GNI (current LCU),3778825610700.0,2020.0
Sudan,"ICT service exports (BoP, current US$)",9993002.1756,2020.0
Sudan,"International tourism, receipts for travel items (current US$)",689000000.0,2020.0
Sudan,"Mortality rate, infant, female (per 1,000 live births)",35.2,2020.0
Sudan,Population growth (annual %),2.3911,2020.0
Sudan,"Tariff rate, applied, weighted mean, all products (%)",0.0,2020.0
Sudan,GDP deflator (base year varies by country),20225.3193,2020.0
Sudan,Gross capital formation (% of GDP),31.9275,2020.0
Sudan,Gross national expenditure (current LCU),4055402678200.0,2020.0
Sudan,"Households and NPISHs Final consumption expenditure, PPP (current international $)",51526045087.7568,2020.0
Sudan,Human capital index (HCI) (scale 0-1),0.3774,2020.0
Sudan,"Human capital index (HCI), upper bound (scale 0-1)",0.3909,2020.0
Sudan,Mobile cellular subscriptions,35195207.0,2020.0
Sudan,"Services, value added (constant 2015 US$)",23939417749.7469,2020.0
Sudan,"Agriculture, forestry, and fishing, value added (current US$)",4341812238.0452,2020.0
Sudan,Merchandise exports (current US$),3803000000.0,2020.0
Sudan,"Agriculture, forestry, and fishing, value added (% of GDP)",20.3563,2020.0
Sudan,"Net financial flows, IDA (NFL, current US$)",0.0,2020.0
Sudan,"Population ages 80 and above, male (% of male population)",0.4334,2020.0
Sudan,Refugee population by country or territory of origin,787755.0,2020.0
Sudan,GNI per capita (constant 2015 US$),1046.8578,2020.0
Sudan,Gross domestic income (constant LCU),21278468280.387,2020.0
Sudan,Gross national expenditure (constant 2015 US$),40601612399.3434,2020.0
Sudan,"Population ages 50-54, female (% of female population)",3.3169,2020.0
Sudan,"Agriculture, forestry, and fishing, value added (constant 2015 US$)",15975594611.6031,2020.0
Sudan,Claims on central government (annual growth as % of broad money),37.3857,2020.0
Sudan,Fixed telephone subscriptions,129408.0,2020.0
Sudan,GDP (constant 2015 US$),49449888025.3069,2020.0
Sudan,"Share of tariff lines with specific rates, primary products (%)",1.2195,2020.0
Sudan,Claims on other sectors of the domestic economy (annual growth as % of broad money),23.2292,2020.0
Sudan,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",16584378822.4,2020.0
Sudan,General government final consumption expenditure (constant 2015 US$),8440629068.44,2020.0
Sudan,"GNI, PPP (constant 2017 international $)",160045287138.296,2020.0
Sudan,"Unemployment, total (% of total labor force) (modeled ILO estimate)",19.649,2020.0
Sudan,Urban population (% of total population),35.253,2020.0
Sudan,CPIA gender equality rating (1=low to 6=high),2.5,2020.0
Sudan,"Population ages 55-59, male (% of male population)",2.4976,2020.0
Sudan,Population in the largest city (% of urban population),37.7073,2020.0
Sudan,"Services, value added (annual % growth)",-3.0421,2020.0
Sudan,Battle-related deaths (number of people),45.0,2020.0
Sudan,External balance on goods and services (current LCU),3527191200.0,2020.0
Sudan,General government final consumption expenditure (current LCU),1140083230300.0,2020.0
Sudan,Gross domestic savings (% of GDP),32.0143,2020.0
Sudan,Gross national expenditure (% of GDP),99.9131,2020.0
Sudan,"Labor force, female (% of total labor force)",29.9313,2020.0
Sudan,Women's share of population ages 15+ living with HIV (%),47.8,2020.0
Sudan,"Incidence of HIV, all (per 1,000 uninfected population)",0.09,2020.0
Sudan,Risk of catastrophic expenditure for surgical care (% of people at risk),71.1,2020.0
Sudan,CPIA equity of public resource use rating (1=low to 6=high),2.5,2020.0
Sudan,CPIA quality of budgetary and financial management rating (1=low to 6=high),2.5,2020.0
Sudan,Gross fixed capital formation (% of GDP),31.9275,2020.0
Sudan,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",47.643,2020.0
Sudan,"Computer, communications and other services (% of commercial service exports)",11.5605,2020.0
Sudan,Domestic credit to private sector by banks (% of GDP),7.9046,2020.0
Sudan,"Population ages 0-14, female (% of female population)",39.2175,2020.0
Sudan,"Population ages 65 and above, total",1611075.0,2020.0
Sudan,"Tariff rate, applied, simple mean, all products (%)",0.0,2020.0
Sudan,Forest area (% of land area),9.9282,2020.0
Sudan,Households and NPISHs Final consumption expenditure (current US$),8509756655.8066,2020.0
Sudan,"Insurance and financial services (% of service imports, BoP)",6.6805,2020.0
Sudan,"Services, value added (% of GDP)",36.3065,2020.0
Sudan,Travel services (% of commercial service exports),54.8215,2020.0
Sudan,"Charges for the use of intellectual property, payments (BoP, current US$)",1642.2907,2020.0
Sudan,"Human capital index (HCI), lower bound (scale 0-1)",0.3621,2020.0
Sudan,Imports of goods and services (constant 2015 US$),624972382.0569,2020.0
Sudan,"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",67.471,2020.0
Sudan,"Prevalence of HIV, total (% of population ages 15-49)",0.2,2020.0
Sudan,CPIA macroeconomic management rating (1=low to 6=high),1.5,2020.0
Sudan,"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",0.15,2020.0
Sudan,Mobile cellular subscriptions (per 100 people),80.2641,2020.0
Sudan,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),41.8328,2020.0
Sudan,"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",45.151,2020.0
Sudan,GDP: linked series (current LCU),4058929541999.99,2020.0
Sudan,General government final consumption expenditure (constant LCU),2398805700.0,2020.0
Sudan,GNI (constant LCU),18618072707.4733,2020.0
Sudan,"GNI, PPP (current international $)",169108261401.17,2020.0
Sudan,Gross value added at basic prices (GVA) (constant LCU),19825637200.0,2020.0
Sudan,"Imports of goods and services (BoP, current US$)",10519596582.8024,2020.0
Sudan,People with basic handwashing facilities including soap and water (% of population),12.5113,2020.0
Sudan,"Share of tariff lines with international peaks, manufactured products (%)",0.0,2020.0
Sudan,"Share of tariff lines with international peaks, primary products (%)",0.0,2020.0
Sudan,"Tariff rate, applied, weighted mean, manufactured products (%)",0.0,2020.0
Sudan,"PPG, IDA (DOD, current US$)",1233772000.0,2020.0
Sudan,Taxes less subsidies on products (constant LCU),242918900.0,2020.0
Sudan,Terms of trade adjustment (constant LCU),1209912180.387,2020.0
Sudan,Trade (% of GDP),0.7846,2020.0
Sudan,Final consumption expenditure (% of GDP),67.9857,2020.0
Sudan,"Net financial flows, RDB concessional (NFL, current US$)",0.0,2020.0
Sudan,GDP (constant LCU),20068556100.0,2020.0
Sudan,"Human capital index (HCI), female (scale 0-1)",0.3854,2020.0
Sudan,"IFC, private nonguaranteed (NFL, current US$)",0.0,2020.0
Sudan,"Net financial flows, bilateral (NFL, current US$)",-89592526.0,2020.0
Sudan,Urban population,15458183.0,2020.0
Sudan,CPIA trade rating (1=low to 6=high),2.5,2020.0
Sudan,Exports of goods and services (annual % growth),5.0,2020.0
Sudan,"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",16.975,2020.0
Sudan,Secure Internet servers,282.0,2020.0
Sudan,"Service imports (BoP, current US$)",1665687788.5796,2020.0
Sudan,"Unemployment, female (% of female labor force) (modeled ILO estimate)",31.227,2020.0
Sudan,CPIA structural policies cluster average (1=low to 6=high),2.5,2020.0
