State,District,Population Rural,Population Urban,Children Received Polio Birth Rural,Children Received Polio Birth Urban,Children Did Not Receive Any Vaccination Rural,Children Did Not Receive Any Vaccination Urban,Children Received Measles Vaccine Rural,Children Received Measles Vaccine Urban,Children Fully Immunized Rural,Children Fully Immunized Urban,Children Received Bcg Rural,Children Received Bcg Urban,Diarrhoea Dysentery Male Rural,Diarrhoea Dysentery Male Urban,Diarrhoea Dysentery Female Rural,Diarrhoea Dysentery Female Urban,Respiratory Infection Male Rural,Respiratory Infection Male Urban,Respiratory Infection Female Rural,Respiratory Infection Female Urban,Fever Male Rural,Fever Male Urban,Fever Female Rural,Fever Female Urban,Acute Illness Male Rural,Acute Illness Male Urban,Acute Illnes Female Rural,Acute Illness Female Urban,Acute Illness And Treatment From Any Source Rural,Acute Illness And Taking Treatment From Any Source Urban,Acute Illness And Taking Treatment From Any Source Male Rural,Acute Illness And Taking  Treatment From Any Source  Male Urban,Acute Illness And Taking Treatment From Any Source Female Rural,Acute Illness And Taking Treatment From Any Source Female Urban,Acute Illness And Taking Treatment From Government Source Person Rural,Acute Illness And Taking Treatment From Government Person Urban,Acute Illness And Taking Treatment From Government Male Rural,Acute Illness And Taking Treatment From Government Sourc Male Urban,Acute Illness An Taking Treatment From Governmen FemaleRural,Acute Illness And Taking Treatment From Government Female Urban,Women Aware Of Hiv And Aids Rural,Women Aware Of Hiv And Aids Urban,Women Aware Of Rti And Sti Rural,Women Aware Of Rti And Sti Urban,Women Aware Of Haf Ors And Ort And Zinc And Rural,Women Aware Of Haf Ors And Ort And Zinc And Urban,Women Aware Of Ari And  Pneumonia Rural,Women Aware Of Ari And  Pneumonia Urban
Assam,Barpeta,60293,4313,67.2,74.5,4.2,5.5,76.7,71.8,61.9,63.6,93.4,94.5,792.0,516.0,734.0,797.0,252.0,282.0,349.0,149.0,2693.0,2864.0,2772.0,2390.0,4002.0,3756.0,4210.0,3735.0,95.6,98.1,96.8,98.8,94.4,97.3,34.7,25.7,34.8,25.3,34.6,26.0,63.5,83.2,30.3,31.2,98.8,99.4,88.7,74.2
Assam,Bongaigaon,73899,10113,71.9,91.7,3.5,2.1,79.0,84.4,52.8,47.9,94.2,95.8,365.0,220.0,389.0,273.0,633.0,519.0,678.0,483.0,3081.0,1038.0,3250.0,1556.0,4534.0,1876.0,4978.0,2565.0,96.0,93.5,96.3,93.6,95.6,93.4,47.8,40.6,50.1,51.1,45.5,32.5,59.8,91.1,46.0,74.5,99.5,100.0,89.2,95.2
Assam,Cachar,112171,14987,80.1,91.3,2.6,2.9,80.3,79.9,63.9,67.3,94.1,94.2,3949.0,1766.0,3614.0,1538.0,4539.0,3533.0,4673.0,4097.0,10731.0,8432.0,9375.0,11061.0,20040.0,14794.0,18737.0,17620.0,91.4,92.7,91.6,91.8,91.3,93.5,27.7,27.9,24.4,17.4,31.1,36.7,71.2,87.1,77.2,87.8,98.4,91.6,88.1,81.8
Assam,Dhemaji,66537,8914,78.5,78.6,7.6,6.0,77.0,83.0,65.9,75.8,91.4,93.1,607.0,525.0,648.0,414.0,1599.0,1553.0,1725.0,1609.0,2496.0,2626.0,2891.0,3120.0,5438.0,5685.0,6292.0,6386.0,90.3,94.5,91.3,95.6,89.4,93.5,56.0,42.9,56.7,41.6,55.4,44.1,82.2,92.7,59.8,65.3,97.0,98.5,90.6,89.1
Assam,Dhubri,46337,4655,59.1,88.3,8.4,2.9,59.9,84.5,46.9,66.0,89.2,96.1,848.0,438.0,799.0,504.0,810.0,394.0,586.0,596.0,3016.0,1971.0,3522.0,1787.0,5125.0,3898.0,5575.0,3621.0,96.3,91.7,96.2,94.4,96.4,88.6,24.2,47.4,24.3,45.2,24.1,50.0,46.2,97.9,23.9,35.0,98.5,99.8,89.1,98.5
Assam,Dibrugarh,76433,20835,93.3,95.4,0.9,0.7,92.7,94.7,81.5,85.8,97.3,98.5,1628.0,1063.0,1535.0,957.0,7971.0,7608.0,9236.0,9277.0,6189.0,2520.0,6912.0,2367.0,16372.0,11535.0,18583.0,13317.0,83.3,83.3,83.8,86.5,82.9,80.3,51.8,33.2,51.2,32.1,52.3,34.3,89.6,97.6,75.6,83.3,99.0,99.5,96.3,94.8
Assam,Goalpara,70273,5617,71.7,78.0,4.6,2.8,72.4,68.9,47.3,37.3,91.8,92.1,1056.0,284.0,1556.0,732.0,431.0,319.0,653.0,270.0,2912.0,1774.0,3218.0,2120.0,4822.0,2945.0,5966.0,3624.0,96.3,97.7,96.4,97.6,96.3,97.9,54.6,54.9,54.7,55.6,54.4,54.3,72.7,80.0,52.5,64.2,97.4,99.0,91.9,92.7
Assam,Golaghat,64579,7586,80.0,84.4,1.1,4.0,89.5,87.6,69.2,71.6,96.7,95.5,2083.0,1966.0,2220.0,1790.0,9529.0,6456.0,10431.0,7388.0,5083.0,2949.0,4497.0,2870.0,17028.0,11583.0,17527.0,12219.0,87.2,83.0,88.7,81.9,85.6,84.4,54.6,41.4,55.8,41.7,53.3,41.0,82.4,95.4,92.9,98.8,91.3,99.4,92.1,94.6
Assam,Jorhat,136355,36603,84.1,87.8,1.3,1.2,90.3,90.6,71.8,67.2,96.8,97.3,1920.0,1429.0,2109.0,1604.0,10952.0,9188.0,11575.0,11551.0,3139.0,2596.0,3875.0,2859.0,16968.0,14017.0,18753.0,16890.0,84.7,92.2,86.8,90.8,82.7,93.4,42.1,18.1,44.2,13.9,40.1,21.6,79.7,92.3,94.0,97.4,97.6,97.7,91.3,91.7
Assam,Kamrup,97320,69962,84.8,87.7,0.9,1.9,87.1,90.0,59.1,71.6,97.9,97.6,739.0,489.0,843.0,484.0,560.0,393.0,739.0,459.0,3153.0,2105.0,3587.0,2555.0,5006.0,3491.0,5821.0,4225.0,96.5,91.9,96.7,92.4,96.3,91.5,57.2,26.8,58.1,25.4,56.3,28.0,80.5,95.6,42.7,81.2,99.0,99.6,60.8,71.3
